MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
HXB9.H12CORE.0.S.C	10	0.344909993792675	402979	56498	7593	0	1e-06
HXB9.H12CORE.1.M.C	11	0.383555014974955	172103	4762	531	0	1e-05
HXC10.H12CORE.0.P.B	11	0.295081967213115	516122	85715	5958	0	1e-06
HXC10.H12CORE.1.S.B	12	0.353318490245971	440239	111790	12436	1110	1e-06
HXC10.H12CORE.2.SM.B	12	0.375548183964916	241617	12656	536	35	1e-05
HXC11.H12CORE.0.SM.B	11	0.38721436396599	101361	4720	546	0	1e-05
HXC11.H12CORE.1.S.B	10	0.324253604268362	414431	93930	10819	0	1e-06
HXC12.H12CORE.0.SM.B	11	0.359426555922175	247367	8725	530	0	1e-05
HXC13.H12CORE.0.SM.B	12	0.410579551667578	207649	8264	696	41	1e-05
HXC4.H12CORE.0.SM.B	13	0.360367372353674	340177	21543	919	67	1e-05
HXC8.H12CORE.0.SM.B	13	0.395817195972115	267702	26181	2019	250	1e-05
HXC9.H12CORE.0.P.B	12	0.319989929506546	519086	78760	5971	277	1e-06
HXC9.H12CORE.1.S.C	12	0.349606135986733	403649	64498	8156	771	1e-06
HXC9.H12CORE.2.M.C	13	0.394626485219751	220185	10913	510	79	1e-05
HXD1.H12CORE.0.SM.B	13	0.339316588601427	286689	35333	4247	364	1e-05
HXD10.H12CORE.0.SM.B	12	0.381296227428619	246427	15622	1396	50	1e-05
HXD11.H12CORE.0.PS.A	13	0.378230769230769	422130	46711	4522	461	1e-06
HXD11.H12CORE.1.SM.B	20	0.357086052202284	378761	46044	4069	278	1e-06
HXD12.H12CORE.0.SM.B	11	0.386240376227861	123663	3289	501	0	1e-05
HXD13.H12CORE.0.PS.A	11	0.305966760512215	562393	90448	7521	0	1e-06
HXD13.H12CORE.1.SM.B	11	0.389511246147457	235349	9701	838	0	1e-05
HXD3.H12CORE.0.SM.B	13	0.405755465960961	264915	22471	2027	32	1e-05
HXD4.H12CORE.0.SM.B	12	0.379742619631248	290833	13995	239	10	1e-05
HXD8.H12CORE.0.SM.B	11	0.362221902570004	290565	22823	874	0	1e-05
HXD9.H12CORE.0.SM.B	13	0.38793898409283	264861	19201	927	55	1e-05
IRF1.H12CORE.0.P.B	19	0.390756627250947	774509	276900	46257	5854	1e-07
IRF2.H12CORE.0.PSM.A	17	0.454759490002898	465217	65190	5912	390	1e-06
IRF3.H12CORE.0.PS.A	19	0.44735035322601	649397	165670	22240	2955	1e-06
