Model	Transcription factor
SALL4_HUMAN.H11MO.0.B	SALL4
SMAD3_HUMAN.H11MO.0.B	SMAD3
SMAD4_HUMAN.H11MO.0.B	SMAD4
SOX10_HUMAN.H11MO.0.B	SOX10
SOX3_HUMAN.H11MO.0.B	SOX3
SOX4_HUMAN.H11MO.0.B	SOX4
SOX9_HUMAN.H11MO.0.B	SOX9
SOX9_HUMAN.H11MO.1.B	SOX9
SP2_HUMAN.H11MO.1.B	SP2
SP3_HUMAN.H11MO.0.B	SP3
SRBP2_HUMAN.H11MO.0.B	SREBF2
SRY_HUMAN.H11MO.0.B	SRY
STAT6_HUMAN.H11MO.0.B	STAT6
STF1_HUMAN.H11MO.0.B	NR5A1
TF7L1_HUMAN.H11MO.0.B	TCF7L1
TFE3_HUMAN.H11MO.0.B	TFE3
THA11_HUMAN.H11MO.0.B	THAP11
WT1_HUMAN.H11MO.1.B	WT1
ZIC1_HUMAN.H11MO.0.B	ZIC1
ZIC3_HUMAN.H11MO.0.B	ZIC3
ZKSC1_HUMAN.H11MO.0.B	ZKSCAN1
ZN322_HUMAN.H11MO.0.B	ZNF322
AIRE_HUMAN.H11MO.0.C	AIRE
ARI5B_HUMAN.H11MO.0.C	ARID5B
ATF2_HUMAN.H11MO.2.C	ATF2
CDX1_HUMAN.H11MO.0.C	CDX1
CEBPD_HUMAN.H11MO.0.C	CEBPD
CLOCK_HUMAN.H11MO.0.C	CLOCK
COT1_HUMAN.H11MO.0.C	NR2F1
COT1_HUMAN.H11MO.1.C	NR2F1
CREM_HUMAN.H11MO.0.C	CREM
CUX1_HUMAN.H11MO.0.C	CUX1
DLX3_HUMAN.H11MO.0.C	DLX3
ELF2_HUMAN.H11MO.0.C	ELF2
ETV5_HUMAN.H11MO.0.C	ETV5
FEZF1_HUMAN.H11MO.0.C	FEZF1
FOXC1_HUMAN.H11MO.0.C	FOXC1
FOXJ2_HUMAN.H11MO.0.C	FOXJ2
FOXO4_HUMAN.H11MO.0.C	FOXO4
FOXP2_HUMAN.H11MO.0.C	FOXP2
FOXQ1_HUMAN.H11MO.0.C	FOXQ1
GFI1_HUMAN.H11MO.0.C	GFI1
HEN1_HUMAN.H11MO.0.C	NHLH1
HIC1_HUMAN.H11MO.0.C	HIC1
HIF1A_HUMAN.H11MO.0.C	HIF1A
HINFP_HUMAN.H11MO.0.C	HINFP
HLF_HUMAN.H11MO.0.C	HLF
HNF1A_HUMAN.H11MO.0.C	HNF1A
HXA10_HUMAN.H11MO.0.C	HOXA10
HXA13_HUMAN.H11MO.0.C	HOXA13
HXA1_HUMAN.H11MO.0.C	HOXA1
HXB7_HUMAN.H11MO.0.C	HOXB7
HXB8_HUMAN.H11MO.0.C	HOXB8
