Model	Transcription factor
STAT3_MOUSE.H11MO.0.A	Stat3
STAT4_MOUSE.H11MO.0.A	Stat4
STAT6_MOUSE.H11MO.0.A	Stat6
STF1_MOUSE.H11MO.0.B	Nr5a1
SUH_MOUSE.H11MO.0.A	Rbpj
TAF1_MOUSE.H11MO.0.A	Taf1
TAL1_MOUSE.H11MO.0.A	Tal1
TBP_MOUSE.H11MO.0.A	Tbp
TBX20_MOUSE.H11MO.0.C	Tbx20
TBX21_MOUSE.H11MO.0.A	Tbx21
TBX2_MOUSE.H11MO.0.D	Tbx2
TBX3_MOUSE.H11MO.0.B	Tbx3
TBX5_MOUSE.H11MO.0.D	Tbx5
TCF7_MOUSE.H11MO.0.A	Tcf7
TEAD1_MOUSE.H11MO.0.A	Tead1
TEAD2_MOUSE.H11MO.0.C	Tead2
TEAD3_MOUSE.H11MO.0.D	Tead3
TEAD4_MOUSE.H11MO.0.A	Tead4
TEF_MOUSE.H11MO.0.D	Tef
TF2L1_MOUSE.H11MO.0.C	Tfcp2l1
TF2L1_MOUSE.H11MO.1.C	Tfcp2l1
TF65_MOUSE.H11MO.0.A	Rela
TF7L1_MOUSE.H11MO.0.A	Tcf7l1
TF7L2_MOUSE.H11MO.0.A	Tcf7l2
TFCP2_MOUSE.H11MO.0.D	Tfcp2
TFDP1_MOUSE.H11MO.0.D	Tfdp1
TFE2_MOUSE.H11MO.0.A	Tcf3
TFE3_MOUSE.H11MO.0.A	Tfe3
TFEB_MOUSE.H11MO.0.C	Tfeb
TGIF1_MOUSE.H11MO.0.A	Tgif1
THA11_MOUSE.H11MO.0.B	Thap11
THA_MOUSE.H11MO.0.C	Thra
THA_MOUSE.H11MO.1.C	Thra
THB_MOUSE.H11MO.0.D	Thrb
TLX1_MOUSE.H11MO.0.D	Tlx1
TWST1_MOUSE.H11MO.0.B	Twist1
TWST1_MOUSE.H11MO.1.B	Twist1
TYY1_MOUSE.H11MO.0.A	Yy1
UBIP1_MOUSE.H11MO.0.D	Ubp1
USF1_MOUSE.H11MO.0.A	Usf1
USF2_MOUSE.H11MO.0.A	Usf2
VDR_MOUSE.H11MO.0.A	Vdr
VDR_MOUSE.H11MO.1.A	Vdr
VSX2_MOUSE.H11MO.0.C	Vsx2
WT1_MOUSE.H11MO.0.B	Wt1
WT1_MOUSE.H11MO.1.A	Wt1
XBP1_MOUSE.H11MO.0.C	Xbp1
ZBT17_MOUSE.H11MO.0.A	Zbtb17
ZBT18_MOUSE.H11MO.0.D	Zbtb18
ZBT7A_MOUSE.H11MO.0.B	Zbtb7a
ZBTB6_MOUSE.H11MO.0.D	Zbtb6
ZEB1_MOUSE.H11MO.0.B	Zeb1
ZEP1_MOUSE.H11MO.0.D	Hivep1
ZEP2_MOUSE.H11MO.0.D	Hivep2
ZFHX3_MOUSE.H11MO.0.D	Zfhx3
ZFP42_MOUSE.H11MO.0.A	Zfp42
ZFP57_MOUSE.H11MO.0.B	Zfp57
ZFX_MOUSE.H11MO.0.B	Zfx
ZFX_MOUSE.H11MO.1.B	Zfx
ZIC1_MOUSE.H11MO.0.B	Zic1
ZIC2_MOUSE.H11MO.0.C	Zic2
ZIC3_MOUSE.H11MO.0.A	Zic3
ZKSC1_MOUSE.H11MO.0.A	Zkscan1
ZN143_MOUSE.H11MO.0.A	Znf143
ZN148_MOUSE.H11MO.0.D	Znf148
ZN281_MOUSE.H11MO.0.A	Znf281
ZN322_MOUSE.H11MO.0.B	Znf322
ZN335_MOUSE.H11MO.0.A	Znf335
ZN335_MOUSE.H11MO.1.A	Znf335
ZN423_MOUSE.H11MO.0.D	Znf423
ZN431_MOUSE.H11MO.0.C	Znf431
